Date,Code,Name,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjusted Price,12m Low_num,12m High_num,Day Low_num,Day High_num,Day Price_num,Previous_num,Change_num,Change%_num,Volume_num,Adjusted Price_num
2024-02-09,BAT,British American Tobacco Kenya Plc,325.00,455.00,419.00,424.00,420.00,424.00,-4,0.94%,"1,400.00",-,325.0,455.0,419.0,424.0,420.0,424.0,-4.0,0.94,1400.0,
2024-02-09,CARB,Carbacid Investments Plc,14.05,24.50,16.00,16.10,16.05,16.10,-0.05,0.31%,"2,100.00",-,14.05,24.5,16.0,16.1,16.05,16.1,-0.05,0.31,2100.0,
2024-02-09,EABL,East African Breweries Ltd,99.00,204.00,114.25,117.25,114.25,117.25,-3,2.56%,"220,500.00",-,99.0,204.0,114.25,117.25,114.25,117.25,-3.0,2.56,220500.0,
2024-02-09,FTGH,Flame Tree Group Holdings Ltd,0.91,1.39,1.12,1.12,1.12,1.12,-,-,300.00,-,0.91,1.39,1.12,1.12,1.12,1.12,,,300.0,
2024-02-09,ORCH,Kenya Orchards Ltd,19.00,77.00,19.50,19.50,19.50,19.50,-,-,-,-,19.0,77.0,19.5,19.5,19.5,19.5,,,,
2024-02-09,MSC,Mumias Sugar Company Ltd,0.27,0.27,0.27,0.27,0.27,0.27,-,-,-,-,0.27,0.27,0.27,0.27,0.27,0.27,,,,
2024-02-09,UNGA,Unga Group Ltd,11.05,18.45,17.10,17.10,17.10,17.10,-,-,-,-,11.05,18.45,17.1,17.1,17.1,17.1,,,,
2024-02-09,SCOM,Safaricom Plc,12.15,21.15,12.95,13.20,13.05,13.20,-0.15,1.14%,"4,896,800.00",-,12.15,21.15,12.95,13.2,13.05,13.2,-0.15,1.14,4896800.0,
2024-02-09,LAPR,Laptrust Imara Income-REIT,20.00,20.00,20.00,20.00,20.00,20.00,-,-,-,-,20.0,20.0,20.0,20.0,20.0,20.0,,,,
2024-02-09,GLD,ABSA NewGold ETF,"2,625.00","3,330.00","3,065.00","3,065.00","3,065.00","3,065.00",-,-,-,-,2625.0,3330.0,3065.0,3065.0,3065.0,3065.0,,,,
2024-02-09,^N10I,NSE 10-Share Index,874.34,"1,243.88",918.46,918.46,918.46,925.48,-7.02,0.76%,-,-,874.34,1243.88,918.46,918.46,918.46,925.48,-7.02,0.76,,
2024-02-09,^N20I,NSE 20-Share Index,"1,416.32","1,942.74","1,516.50","1,516.50","1,516.50","1,526.48",-9.98,0.65%,-,-,1416.32,1942.74,1516.5,1516.5,1516.5,1526.48,-9.98,0.65,,
2024-02-09,^N25I,NSE 25-Share Index,"2,281.58","3,205.82","2,415.45","2,415.45","2,415.45","2,431.81",-16.36,0.67%,-,-,2281.58,3205.82,2415.45,2415.45,2415.45,2431.81,-16.36,0.67,,
2024-02-09,^NASI,NSE All-Share Index,86.41,119.33,91.18,91.18,91.18,91.96,-0.78,0.85%,-,-,86.41,119.33,91.18,91.18,91.18,91.96,-0.78,0.85,,
2024-02-09,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,497.80","2,397.65","1,571.87","1,571.87","1,571.87","1,585.31",-13.44,0.85%,-,-,1497.8,2397.65,1571.87,1571.87,1571.87,1585.31,-13.44,0.85,,
2024-02-09,^ZKEQTU,Zamara Kenya Equity Index (USD),818.46,"1,599.72",848.52,848.52,848.52,850.44,-1.92,0.23%,-,-,818.46,1599.72,848.52,848.52,848.52,850.44,-1.92,0.23,,
